date,total_bytes,tcp_udp_icmp_rate,ipaddr_top
2006-03-01,3447213589,83.10%-13.73%-0.29%,13.2%-7.0%-6.4%-3.8%-2.5%
2006-03-02,3518850534,89.41%-9.12%-0.27%,18.3%-6.2%-4.6%-3.7%-3.3%
2006-03-03,3441254623,89.00%-9.04%-0.34%,16.9%-4.1%-3.8%-3.1%-2.7%
2006-03-04,3243469937,90.42%-7.79%-0.30%,19.8%-6.0%-5.2%-4.4%-3.7%
2006-03-05,3050566806,91.85%-6.89%-0.49%,23.8%-17.7%-16.1%-3.6%-3.6%
2006-03-06,3397021510,89.31%-8.01%-0.28%,17.7%-6.8%-4.8%-3.8%-2.4%
2006-03-07,3189068267,90.62%-7.88%-0.30%,7.3%-4.2%-3.8%-3.6%-2.6%
2006-03-08,3169765432,79.63%-17.66%-0.32%,25.9%-6.3%-4.4%-2.6%-2.5%
2006-03-09,3284609879,92.46%-6.79%-0.53%,25.4%-5.4%-4.0%-4.0%-3.9%
2006-03-10,3142255887,89.64%-8.84%-0.35%,19.0%-5.1%-3.8%-3.7%-3.6%
2006-03-11,2928725773,89.89%-8.29%-0.36%,12.5%-8.8%-7.4%-5.4%-5.2%
2006-03-12,2938368944,87.31%-11.58%-0.41%,20.1%-8.3%-5.0%-4.9%-4.8%
2006-03-13,3329415794,86.66%-10.59%-0.31%,15.5%-5.8%-4.9%-4.6%-4.3%
2006-03-14,3371229692,86.11%-11.94%-0.29%,17.2%-5.9%-5.3%-5.0%-4.4%
2006-03-15,3478913785,90.49%-7.95%-0.26%,14.6%-6.0%-4.2%-4.0%-3.4%
2006-03-16,3220512579,89.80%-8.37%-0.35%,12.3%-5.5%-3.7%-3.6%-3.5%
2006-03-17,3223410597,87.55%-11.35%-0.41%,12.0%-11.6%-5.8%-4.0%-4.0%
2006-03-18,3086297532,91.21%-6.52%-0.35%,14.0%-7.0%-7.0%-6.2%-4.6%
2006-03-19,2552958914,85.85%-12.53%-0.60%,20.2%-12.2%-9.0%-7.6%-4.8%
2006-03-20,3374964176,92.90%-5.67%-0.32%,15.9%-4.8%-4.8%-4.2%-3.8%
2006-03-21,3267222669,87.52%-10.26%-0.31%,14.1%-10.7%-8.5%-5.4%-5.3%
2006-03-22,3547990058,87.84%-10.48%-0.36%,13.0%-8.8%-8.0%-7.6%-6.9%
2006-03-23,3461137682,92.42%-6.08%-0.30%,9.5%-6.5%-5.9%-5.5%-4.0%
2006-03-24,3382788459,89.64%-8.47%-0.34%,12.1%-7.8%-7.5%-4.9%-4.3%
2006-03-25,3257634280,91.80%-6.39%-0.35%,15.6%-9.6%-7.0%-5.4%-4.0%
2006-03-26,2849173399,91.65%-6.92%-0.72%,16.0%-15.6%-11.5%-7.0%-6.2%
2006-03-27,3510279879,91.97%-6.72%-0.41%,12.2%-7.2%-4.9%-3.5%-3.4%
2006-03-28,3281660083,90.27%-8.14%-0.36%,11.8%-9.8%-9.0%-5.0%-3.8%
2006-03-29,3204334490,90.07%-7.41%-0.38%,9.8%-8.9%-8.1%-5.6%-4.7%
2006-03-30,3486882752,92.62%-6.11%-0.37%,11.0%-9.4%-6.0%-5.3%-4.9%
2006-03-31,3444659780,91.46%-6.92%-0.31%,14.5%-7.3%-4.8%-4.7%-3.0%
2006-04-01,3224767617,90.40%-7.69%-0.34%,11.8%-11.7%-6.7%-5.6%-4.2%
2006-04-02,3058141741,77.81%-21.46%-0.30%,14.2%-10.4%-8.8%-6.9%-6.6%
2006-04-03,3370368105,92.12%-6.49%-0.92%,12.8%-6.5%-6.1%-5.1%-5.1%
2006-04-04,3487461991,91.50%-7.38%-0.36%,13.3%-8.2%-6.2%-5.5%-4.1%
2006-04-05,3476806540,89.40%-8.84%-0.92%,12.9%-8.0%-6.3%-6.2%-5.9%
2006-04-06,3400432143,93.00%-5.85%-0.35%,12.5%-8.8%-5.8%-5.3%-4.3%
2006-04-07,3393715727,90.42%-8.12%-0.46%,12.0%-10.4%-7.3%-4.1%-3.8%
2006-04-08,3152679001,92.17%-6.11%-0.37%,22.3%-7.9%-5.9%-5.5%-4.6%
2006-04-09,2456987563,93.82%-5.54%-0.53%,20.3%-19.0%-16.0%-12.9%-9.6%
2006-04-10,3444739429,84.48%-14.85%-0.42%,11.4%-8.0%-6.6%-6.2%-5.0%
2006-04-11,3511620737,89.57%-9.31%-0.33%,9.8%-8.8%-5.8%-4.2%-4.0%
2006-04-12,3395690263,92.44%-6.44%-0.37%,12.1%-7.1%-6.5%-5.8%-4.5%
2006-04-13,3415383894,90.64%-8.13%-0.52%,9.8%-6.3%-5.0%-4.6%-4.3%
2006-04-14,3468585379,91.11%-8.25%-0.43%,10.4%-7.0%-6.8%-6.4%-3.8%
2006-04-15,3193299738,90.49%-8.02%-0.94%,13.6%-7.7%-7.0%-5.0%-4.8%
2006-04-16,2757158583,88.91%-9.65%-0.45%,11.4%-8.5%-7.7%-5.8%-5.8%
2006-04-17,3548553488,87.48%-11.42%-0.35%,10.7%-9.4%-5.8%-4.8%-4.3%
2006-04-18,3554114785,89.58%-9.37%-0.33%,10.0%-7.2%-4.3%-4.0%-3.5%
2006-04-19,3648600107,91.15%-7.33%-0.41%,8.9%-8.0%-5.0%-5.0%-3.4%
2006-04-20,3528737847,89.27%-9.51%-0.40%,11.2%-4.3%-4.0%-4.0%-3.6%
2006-04-21,3654030427,82.16%-16.35%-0.87%,7.7%-6.7%-6.6%-6.1%-5.5%
2006-04-22,3277569736,88.99%-9.83%-0.43%,13.8%-8.8%-6.3%-4.6%-3.9%
2006-04-23,3128011324,84.84%-13.86%-0.87%,14.5%-8.8%-7.0%-6.1%-4.8%
2006-04-24,3556921320,87.27%-11.18%-0.71%,9.2%-6.1%-6.0%-5.7%-5.5%
2006-04-25,3602184617,86.60%-12.13%-0.65%,7.2%-7.0%-6.8%-6.6%-4.2%
2006-04-26,3402456351,82.49%-15.95%-0.85%,5.7%-5.4%-5.1%-3.9%-3.8%
2006-04-27,3457343495,84.77%-13.21%-0.75%,6.8%-6.3%-4.7%-4.4%-3.6%
2006-04-28,7884885070,34.50%-63.37%-0.46%,52.4%-52.4%-3.5%-3.4%-3.0%
2006-04-28,3306372430,85.40%-12.73%-0.82%,6.0%-4.5%-4.3%-3.2%-3.1%
2006-05-07,2793803436,91.95%-7.23%-0.43%,17.0%-8.6%-8.5%-6.5%-5.1%
2006-05-08,3441272527,92.70%-6.10%-0.42%,11.9%-5.3%-3.0%-3.0%-2.8%
2006-05-09,3429300492,92.24%-6.85%-0.42%,8.0%-4.7%-4.5%-3.0%-2.8%
2006-05-10,3438884074,89.28%-9.74%-0.35%,8.1%-4.5%-3.8%-3.7%-3.4%
2006-05-11,3429300543,93.12%-5.92%-0.35%,10.6%-5.1%-4.6%-4.0%-3.9%
2006-05-12,3423487175,81.38%-17.33%-0.48%,8.0%-4.2%-3.9%-3.1%-3.1%
2006-05-13,3157669559,86.76%-11.44%-0.40%,7.8%-7.8%-4.9%-4.8%-4.3%
2006-05-14,3236454479,89.10%-10.23%-0.51%,13.6%-13.6%-8.0%-5.5%-5.4%
2006-05-15,3534725522,87.43%-11.34%-0.64%,11.4%-4.7%-4.2%-3.9%-3.1%
2006-05-16,3518175179,92.54%-5.97%-0.53%,6.8%-5.9%-5.5%-4.2%-3.9%
2006-05-17,3505205951,87.30%-10.42%-1.48%,8.9%-6.5%-4.6%-3.9%-3.5%
2006-05-18,3581870540,83.63%-15.21%-0.46%,8.1%-5.7%-4.8%-4.5%-3.7%
2006-05-19,3395636016,91.51%-7.03%-0.50%,6.0%-5.2%-4.5%-4.1%-3.4%
2006-05-20,3420650680,89.03%-9.96%-0.36%,9.2%-6.1%-6.0%-6.0%-5.0%
2006-05-21,3221945807,82.02%-17.03%-0.65%,12.7%-9.0%-6.4%-5.9%-4.2%
2006-05-22,3554879285,92.09%-6.73%-0.38%,7.9%-6.8%-4.5%-3.8%-3.3%
2006-05-23,3380146312,92.74%-6.20%-0.47%,7.3%-6.3%-3.5%-3.2%-3.1%
2006-05-24,3477906156,91.35%-6.84%-0.39%,9.4%-4.6%-4.6%-4.6%-4.4%
2006-05-25,3515603967,91.16%-7.40%-0.39%,8.4%-8.1%-3.6%-3.1%-2.3%
2006-05-26,3475075603,88.66%-9.96%-0.57%,6.4%-6.2%-5.4%-5.0%-4.2%
2006-05-27,3394388976,87.13%-11.76%-0.37%,7.0%-5.4%-5.3%-4.9%-4.4%
2006-05-28,3369209744,86.54%-12.37%-0.37%,11.0%-9.0%-5.5%-5.3%-4.1%
2006-05-29,3528808399,91.68%-7.27%-0.43%,7.3%-5.5%-4.9%-3.4%-3.3%
2006-05-30,3576837803,86.79%-11.66%-0.39%,8.1%-5.7%-4.8%-4.6%-2.7%
2006-05-31,3600506527,87.38%-11.24%-0.40%,5.6%-5.0%-4.8%-4.2%-3.5%
2006-06-01,3645472058,87.95%-10.62%-0.39%,5.8%-4.8%-4.8%-4.7%-4.1%
2006-06-02,3606770434,88.17%-10.66%-0.61%,6.7%-6.1%-4.1%-3.9%-3.6%
2006-06-03,3625808168,89.98%-9.30%-0.38%,13.8%-5.6%-3.8%-3.7%-3.6%
2006-06-04,3169568895,89.67%-8.99%-0.51%,9.2%-7.9%-5.1%-3.6%-3.0%
2006-06-05,3666135490,90.48%-7.88%-0.45%,8.4%-5.1%-4.9%-4.8%-3.9%
2006-06-06,3675360622,92.14%-6.80%-0.37%,7.0%-5.0%-4.4%-3.8%-3.3%
2006-06-07,3585705418,91.58%-7.34%-0.34%,6.6%-6.3%-5.9%-5.2%-4.8%
2006-06-08,3665709769,90.74%-7.92%-0.51%,6.6%-5.9%-4.7%-4.0%-3.9%
2006-06-09,3665590759,84.22%-14.44%-0.40%,7.9%-5.4%-4.8%-4.7%-3.9%
2006-06-10,3436510741,92.25%-6.38%-0.39%,8.6%-7.3%-4.8%-3.9%-3.7%
2006-06-11,3367335851,93.77%-5.45%-0.39%,14.8%-8.0%-6.3%-5.7%-5.6%
2006-06-12,3605580777,93.26%-6.11%-0.34%,5.2%-3.8%-3.4%-3.2%-2.8%
2006-06-13,3661271607,92.11%-6.27%-0.71%,6.2%-4.5%-3.9%-3.7%-3.5%
2006-06-14,3658542914,91.47%-7.22%-0.40%,5.2%-4.4%-3.8%-3.7%-2.5%
2006-06-15,3408848112,92.02%-6.99%-0.58%,11.4%-7.4%-7.2%-5.7%-4.3%
2006-06-16,3356142500,92.09%-6.07%-0.52%,10.4%-7.0%-5.2%-4.1%-2.4%
2006-06-17,3012940179,83.91%-14.23%-0.52%,11.5%-6.7%-5.9%-5.1%-2.6%
2006-06-18,2788976241,88.03%-10.61%-0.60%,13.6%-13.3%-10.0%-6.2%-4.7%
2006-06-19,3428823727,92.39%-6.21%-0.21%,13.9%-3.3%-2.5%-2.3%-2.2%
2006-06-20,3328358667,93.94%-5.31%-0.44%,5.7%-5.1%-4.1%-3.6%-3.3%
2006-06-21,3351729100,92.84%-5.48%-0.23%,12.5%-7.0%-4.5%-2.9%-2.1%
2006-06-22,3493550046,93.52%-5.19%-0.18%,12.4%-5.3%-4.5%-3.2%-2.3%
2006-06-23,3300046545,89.83%-7.72%-0.24%,7.3%-4.6%-4.2%-3.7%-3.6%
2006-06-24,2895033979,86.80%-10.82%-0.57%,6.9%-6.3%-4.9%-3.7%-3.3%
2006-06-25,2891116267,87.04%-11.34%-0.60%,11.5%-9.6%-6.7%-5.4%-3.9%
2006-06-26,3452438966,92.54%-6.08%-0.24%,12.0%-4.8%-4.0%-3.6%-2.9%
2006-06-27,3393362586,94.02%-4.89%-0.30%,8.7%-5.4%-4.6%-4.3%-3.0%
2006-06-28,3275868020,90.40%-8.32%-0.24%,11.6%-4.5%-4.4%-4.3%-2.0%
2006-06-29,3423707042,92.76%-6.52%-0.34%,11.3%-7.7%-4.2%-3.9%-3.7%
2006-06-30,806912581,92.26%-5.32%-0.40%,7.1%-6.8%-6.0%-6.0%-3.7%
2006-06-30,3260753745,94.14%-5.12%-0.25%,14.1%-4.6%-4.5%-3.8%-3.5%
